name,birth
Christopher Conley,Canada
Edward D Conley,Canada
Alfred Constantine,Canada
Thomas Coyan,Canada
John Cool,Upper Canada
William H Cooper,Canada
Ezra W Cowen,"Millville, Durham, Canada"
Joseph S Coy,Canada
Edward Connolly,"Montreal, Canada"
George Converse,Canada
James Cooper,Canada
John Connors,Canada
Lewis Conyeau,Canada
James H Como,Canada
Michael Conners,Canada
James Cornell,Canada
Phillip W Conley,Canada
Levi Cole,Canada
Alenzo Coyl,Canada
Henry Commette,Canada
John L Corbett,Canada
Lewis Coon,Canada
Joseph Collett,Canada
Lewis Connor,Canada
George W Coombs,Canada
Douglas W Courage,Canada
Thornton W Courtice,Canada
Ralph J Comeau,Canada
Elisha T Coun,Canada
Joseph Cota,Canada
Charles A Collins,Canada
Chas Cook,"Toronto, Canada"
Frederick J Cole,Canada
Terance Comiskey,Canada
Gordon D Cornell,Canada
Stephen Come,Canada
John Compean,Canada
Francis Comstalk,Canada
Myran G Craig,Canada
Charles Conant,Canada
Harvey Corkins,Canada
Edward Coulson,Canada
William Coon,Canada
Jemiah Cornell,Canada
Isaac Cooley,Canada
George W Congdon,Canada
Joseph Collins,Canada
John Connors,Canada
Albert J Collins,Canada
Stanley Coleman,Canada
Albert J Collins,Canada
Douglas W Courage,Canada
Wm A Coulson,Canada
Leonard Corless,Canada
John Mc Coy,Canada
James Cole,Canada
Andrew Comoe,Canada
Charles Cole,Canada
C Comse,Canada
George Crane,Canada
R E Courser,Canada
Darius Collins,Canada
John Corvan,Canada
Joseph Cook,Canada
John Cottone,Canada
George Crane,Canada
William Collins,Canada
Manas Combs,Canada
Octavus Counter,Canada
Henry Cook,Canada
Alenander Copper,Canada
Gregoire Cotay,Canada
John Collins,Canada
William H Cole,Canada
MO George Cowan,Canada
James Crawford,Canada
John H Collins,"Kingston, Canada"
John Conery,Canada
Zera Colum,"Durbee, Canada"
Thomas Connolly,Canada
John B Couliev,Canada
William Coughlin,Canada
Ransone J Cole,Canada
John Cooper,Canada
Robert Crawford,Canada
James Costelo,Canada
Thomas Courtney,Canada
Ira Coty,Canada
Freeman Coulser,Canada
Allen Copperthwaite,Canada
David Craft,Canada
Judson Colby,Canada
Robert Coles,Canada
Gordon D Cornell,Canada
Thomas J Costello,Canada
Napoleon Conture,Canada
George W Cook,Canada
Corneilus Mc Collister,Canada
William Cooper,Canada
Robert Copps,Canada
Thomas Cole,Canada
Francis H Craig,Canada
John Comfort,Canada
James Cotterell,Canada
John Coulter,Canada
Lemond Cornell,Canada
Charles Mc Coy,Canada
Norman E Cook,Canada
Lauson  Pvt Conklin,Canada
John H Collins,Canada
Walter O Colver,Canada
Daniel Crawford,Canada
John C Collins,"Oxford, Canada"
Martin Conwach,Canada
John W Conn,Canada
David W Coulthard,Canada
James H Como,Canada
George Coursen,Canada
Silas D Crawford,Canada
Henry Cole,"Montreal, Canada"
Lanson  Pvt Conklin,Canada
Leonard Corby,"Nova Scotia, Canada"
Benjamin Cook,Canada
Peter Connary,Canada
Avery Colborn,Canada
William Cooper,Canada
Lewis Conyean,Canada
John L Corbett,Canada
David Corsavoy,Canada
Felix Collier,Canada
Michael Conner,Canada
Charles Coppleston,Canada
Myron G Craig,Canada
William Core,Canada
Samuel C Conston,Canada
Giles S Congdon,Canada
Cornelins Conner,Canada
Moses W Cook,Canada
Daniel Counes,Canada
Burnett Conkling,Canada
John Connoly,Canada
John Conray,Canada
Alfred Cole,Canada
John Cooley,Canada
Constontine,Canada
David Coter,Canada
Robert Coles,Canada
George E Colter,Canada
Maylory Cote,Canada
George Conaway,Canada
William Coldwell,Canada
George Cookman,Canada
Levi Cotkins,Canada
Louis Cote,Canada
Paul Cotte,Canada
Alexander Cook,California
Thomas Cornwell,Canada
William Colton,Canada
Ohice Coty,Canada
